,target
13353,0
13357,0
13360,1
13382,0
13386,0
13387,0
13388,0
13389,0
13391,1
13393,1
13394,0
13397,0
13406,1
13409,0
13411,0
13414,1
13417,0
13421,1
13422,1
13427,0
13431,1
13432,0
13437,0
13439,0
13446,1
13451,0
13453,0
13454,0
13463,0
13469,0
13477,1
13478,1
13482,0
13491,1
13504,1
13505,1
13507,0
13509,0
13514,1
13522,0
13531,0
13539,1
13540,0
13542,0
13544,0
13557,0
13563,1
13569,0
13570,0
13573,0
13575,0
13579,0
13593,0
13601,0
13606,1
13614,0
13615,0
13621,0
13622,0
13624,0
13627,0
13633,0
13640,0
13644,1
13646,0
13656,0
13658,0
13680,0
13684,0
13688,0
13694,0
13696,1
13699,1
13706,0
13710,0
13711,0
13722,0
13724,0
13732,0
13736,1
13753,0
13759,0
13765,0
13766,1
13768,1
13790,1
13793,0
13799,1
13808,1
13823,0
13832,0
13839,0
13851,0
13854,0
13861,1
13866,0
13872,1
13884,0
13893,0
13896,1
13898,0
13906,1
13907,1
13908,1
13914,0
13915,0
13916,0
13920,0
13928,0
13934,0
13948,0
13950,0
13952,0
13954,0
13960,1
13962,0
13968,0
13970,0
13973,0
13976,0
13978,0
13980,0
13981,1
13989,0
13995,0
13998,0
14001,1
14009,0
14012,1
14015,0
14019,0
14022,1
14025,0
14037,0
14046,1
14048,1
14051,0
14052,1
14063,0
14064,0
14067,0
14075,0
14076,0
14077,0
14079,0
14089,1
14101,0
14103,0
14104,0
14108,0
14109,0
14111,0
14138,0
14157,0
14158,0
14159,0
14163,0
14164,0
14173,0
14174,0
14185,0
14188,0
14205,1
14215,0
14217,0
14228,0
14244,0
14247,0
14254,1
14261,0
14268,0
14269,0
14276,1
14278,1
14307,1
14311,0
14323,0
14324,0
14329,0
14330,0
14333,0
14334,0
14338,0
14345,0
14346,0
14356,0
14358,0
14366,1
14377,0
14383,0
14392,1
14393,0
14397,1
14400,1
14404,0
14405,0
14410,0
14421,0
14422,0
14433,0
14435,1
14437,0
14441,1
14448,0
14450,0
14452,1
14462,0
14475,1
14478,0
14483,1
14494,0
14500,0
14501,0
14506,0
